year,site_code,survey_date,depth,block,list,transect_1,transect_2,reef_name,lat,long,zone,region,situation,depth_morph,geomorph,Harris_site,report_site,depth_m
2010,GC1,2010-07-03,3.8,1,Reef_fish,1,1,Lamatha Reef,-16.48,139.27,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,3.8
2010,GC1,2010-07-03,3.8,2,Reef_fish,1,2,Lamatha Reef,-16.48,139.27,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,3.8
2010,GC1,2010-07-03,4,1,Reef_fish,2,3,Lamatha Reef,-16.48,139.27,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,4
2010,GC1,2010-07-03,4,2,Reef_fish,2,4,Lamatha Reef,-16.48,139.27,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,4
2010,GC2,2010-07-03,7,1,Reef_fish,1,1,Bowengun,-16.42,139.47,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,7
2010,GC2,2010-07-03,7,2,Reef_fish,1,2,Bowengun,-16.42,139.47,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,7
2010,GC2,2010-07-03,8,1,Reef_fish,2,3,Bowengun,-16.42,139.47,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,8
2010,GC3,2010-07-04,4.4,1,Reef_fish,1,1,Mandalbi-Bellaleea,-16.41,139.63,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,4.4
2010,GC3,2010-07-04,4.4,2,Reef_fish,1,2,Mandalbi-Bellaleea,-16.41,139.63,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,4.4
2010,GC3,2010-07-04,5,1,Reef_fish,2,3,Mandalbi-Bellaleea,-16.41,139.63,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,5
2010,GC3,2010-07-04,5,2,Reef_fish,2,4,Mandalbi-Bellaleea,-16.41,139.63,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,5
2010,GC4,2010-07-04,6.4,1,Reef_fish,1,1,Mandalbi-outer,-16.39,139.63,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,6.4
2010,GC4,2010-07-04,6.4,2,Reef_fish,1,2,Mandalbi-outer,-16.39,139.63,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,6.4
2010,GC4,2010-07-04,6.8,1,Reef_fish,2,3,Mandalbi-outer,-16.39,139.63,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,6.8
2010,GC4,2010-07-04,6.8,2,Reef_fish,2,4,Mandalbi-outer,-16.39,139.63,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,6.8
2010,GC6,2010-07-04,3.2,1,Reef_fish,1,1,Thabugan Reef,-16.38,139.6,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,3.2
2010,GC6,2010-07-04,3.2,2,Reef_fish,1,2,Thabugan Reef,-16.38,139.6,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,3.2
2010,GC6,2010-07-04,5.2,1,Reef_fish,2,3,Thabugan Reef,-16.38,139.6,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,5.2
2010,GC6,2010-07-04,5.2,2,Reef_fish,2,4,Thabugan Reef,-16.38,139.6,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,5.2
2010,GC5,2010-07-05,2,1,Reef_fish,1,1,Thabugan Reef South,-16.38,139.6,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,2
2010,GC5,2010-07-05,2,2,Reef_fish,1,2,Thabugan Reef South,-16.38,139.6,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,2
2010,GC5,2010-07-05,2.5,1,Reef_fish,2,3,Thabugan Reef South,-16.38,139.6,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,2.5
2010,GC5,2010-07-05,2.5,2,Reef_fish,2,4,Thabugan Reef South,-16.38,139.6,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,2.5
2010,GC7,2010-07-05,9,1,Reef_fish,1,1,Steves Bommie,-16.29,139.42,Open,Southern,Offshore,Submerged,Pinnacle,No,Yes,9
2010,GC2,2010-07-03,8,2,Reef_fish,2,4,Bowengun,-16.42,139.47,Open,Mornington,Nearshore,Emergent,Fringing,No,Yes,8
2010,GC7,2010-07-05,9,2,Reef_fish,1,2,Steves Bommie,-16.29,139.42,Open,Southern,Offshore,Submerged,Pinnacle,No,Yes,9
2010,GC7,2010-07-05,10.2,1,Reef_fish,2,3,Steves Bommie,-16.29,139.42,Open,Southern,Offshore,Submerged,Pinnacle,No,Yes,10.2
2010,GC7,2010-07-05,10.2,2,Reef_fish,2,4,Steves Bommie,-16.29,139.42,Open,Southern,Offshore,Submerged,Pinnacle,No,Yes,10.2
2010,GC9,2010-07-05,5.5,1,Reef_fish,1,1,Manowar Island,-16.23,139.25,Open,Southern,Offshore,Emergent,Fringing,No,Yes,5.5
2010,GC9,2010-07-05,5.5,2,Reef_fish,1,2,Manowar Island,-16.23,139.25,Open,Southern,Offshore,Emergent,Fringing,No,Yes,5.5
2010,GC9,2010-07-05,6,1,Reef_fish,2,3,Manowar Island,-16.23,139.25,Open,Southern,Offshore,Emergent,Fringing,No,Yes,6
2010,GC9,2010-07-05,6,2,Reef_fish,2,4,Manowar Island,-16.23,139.25,Open,Southern,Offshore,Emergent,Fringing,No,Yes,6
2013,NT100,2013-08-09,3,1,Reef_fish,2,1,Truant Island NE,-11.669,136.827,Open,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,TS1,2013-08-05,2.3,1,Reef_fish,1,1,Booby Island,-10.606,141.916,Open,Northeast,Offshore,Emergent,Fringing,No,No,2.3
2013,TS1,2013-08-05,2.3,2,Reef_fish,1,2,Booby Island,-10.606,141.916,Open,Northeast,Offshore,Emergent,Fringing,No,No,2.3
2013,NT37,2013-08-09,3,1,Reef_fish,1,1,Truant Island SW,-11.674,136.823,Open,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,NT37,2013-08-09,3,2,Reef_fish,1,2,Truant Island SW,-11.674,136.823,Open,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,NT102,2013-08-10,4.3,1,Reef_fish,3,1,Burston Bay,-11.222,136.685,Open,Wessel,Nearshore,Emergent,Fringing,No,No,4.3
2013,NT102,2013-08-10,4.3,2,Reef_fish,3,2,Burston Bay,-11.222,136.685,Open,Wessel,Nearshore,Emergent,Fringing,No,No,4.3
2013,NT103,2013-08-10,6,1,Reef_fish,3,1,Norruum Islet,-11.23,136.69,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
