site_code,reef_name,lat,long,zone,region,sector,situation,depth_morph,geomorph,Harris_site,report_site
GC1,Lamatha Reef,-16.48,139.27,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes
GC10,Foggy Bottom,-16.07,138.91,Blue,GOC,Southern,Offshore,Submerged,Pinnacle,R4,Yes
GC11,Chinamans Reef,-15.89,139.03,Blue,GOC,Southern,Offshore,Submerged,Pinnacle,No,Yes
GC12,Carpentaria Reef SW,-15.52,140.12,Blue,GOC,Southern,Offshore,Submerged,Pinnacle,R3,Yes
GC13,Carpentaria Reef,-15.45,140.18,Blue,GOC,Southern,Offshore,Submerged,Pinnacle,R2,Yes
GC2,Bowengun,-16.42,139.47,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes
GC3,Mandalbi-Bellaleea,-16.41,139.63,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes
GC4,Mandalbi-outer,-16.39,139.63,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes
GC5,Thabugan Reef South,-16.38,139.6,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes
GC6,Thabugan Reef,-16.38,139.6,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes
GC7,Steves Bommie,-16.29,139.42,Open,GOC,Southern,Offshore,Submerged,Pinnacle,No,Yes
GC8,Glasseye Reef,-16.24,139.6,Blue,GOC,Southern,Offshore,Submerged,Pinnacle,No,Yes
GC9,Manowar Island,-16.23,139.25,Open,GOC,Southern,Offshore,Emergent,Fringing,No,Yes
NT60,Groper Shoal,-15.47,137.92,Open,GOC,Southern,Offshore,Submerged,Pinnacle,R7,Yes
GC14,Carpentaria Shoal,-10.74,141.06,Open,GOC,Northeast,Offshore,Submerged,Shoal,No,Yes
GC15,Proudfoot Shoal,-10.53,141.47,Open,GOC,Northeast,Offshore,Submerged,Shoal,No,Yes
GC17,Merkara Shoal N,-10.5,141.23,Open,GOC,Northeast,Offshore,Submerged,Shoal,No,Yes
NT103,Norruum Islet,-11.23,136.69,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes
NT35,Warrnga Reef,-11.94,135.6,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes
NT36,Guluwuru Island NE,-11.55,136.42,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes
NT38,Truant Island N,-11.66,136.83,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes
NT39,Truant Island S,-11.68,136.82,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes
NT40,Truant Bank SW,-11.65,136.91,Open,GOC,Wessel,Offshore,Submerged,Shoal,No,Yes
NT41,Truant Bank SE,-11.63,136.93,Open,GOC,Wessel,Offshore,Submerged,Shoal,No,Yes
NT44,East Bremer Islet bay,-12.09,136.87,Open,GOC,Northwest,Nearshore,Emergent,Fringing,No,Yes
NT45,Porlsche Rock,-12.07,136.87,Open,GOC,Northwest,Offshore,Submerged,Pinnacle,No,Yes
NT46,East Bremer Islet SW,-12.09,136.87,Open,GOC,Northwest,Nearshore,Emergent,Fringing,No,Yes
NT48,Bremer Island East,-12.09,136.83,Open,GOC,Northwest,Nearshore,Emergent,Fringing,No,Yes
NT49,Bonner Rocks NE,-12.06,136.61,Open,GOC,Northwest,Nearshore,Emergent,Shoal,No,Yes
NT52,Dudley Island SE,-12.89,136.73,Open,GOC,Western,Nearshore,Emergent,Fringing,No,Yes
NT55,Brady Rock,-13.68,136.45,Open,GOC,Western,Nearshore,Emergent,Shoal,No,Yes
NT56,Cape Beatrice SW,-14.31,136.89,Open,GOC,Western,Nearshore,Emergent,Fringing,No,Yes
NT59,Cape Beatrice Islet West,-14.35,136.94,Open,GOC,Western,Nearshore,Emergent,Fringing,No,Yes
NT63,Arafura Shoal,-11.23,134.75,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,R8,Yes
TS2,Booby Island SW,-10.61,141.91,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,Yes
NT37,Truant Island SW,-11.674,136.823,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No
NT102,Burston Bay,-11.222,136.685,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No
TS1,Booby Island,-10.606,141.916,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No
NT100,Truant Island NE,-11.669,136.827,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No
NT47,Bremer Islet anchorage,-12.087,136.865,Open,GOC,Northwest,Nearshore,Emergent,Fringing,No,No
NT51,Bremer Island west,-12.108,136.79,Open,GOC,Northwest,Nearshore,Emergent,Fringing,No,No
NT57,Cape Beatrice South,-14.309,136.889,Open,GOC,Western,Nearshore,Emergent,Fringing,No,No
NT58,Turtle Cave,-14.355,136.95,Open,GOC,Western,Nearshore,Emergent,Fringing,No,No
NT42,Pugh Shoal,-11.613,136.89,Open,GOC,Wessel,Offshore,Submerged,Shoal,No,No
NT43,Buccaneer Shoal,-11.618,136.878,Open,GOC,Wessel,Offshore,Submerged,Shoal,No,No
NT50,Bonner Rocks NW,-12.06,136.611,Open,GOC,Northwest,Nearshore,Emergent,Shoal,No,No
NT53,Dudley Island,-12.881,136.726,Open,GOC,Western,Nearshore,Emergent,Fringing,No,No
NT54,Dudley Rock,-12.884,136.712,Open,GOC,Western,Offshore,Emergent,Shoal,No,No
GC16,Merkara Shoal SW,-10.502,141.228,Open,GOC,Northeast,Offshore,Submerged,Shoal,No,No
TS3,Booby Island NW,-10.603,141.909,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No
TS28,Booby Island Bommie,-10.603,141.907,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No
GC18,Carpentaria Shoal West,-10.744,141.05,Open,GOC,Northeast,Offshore,Submerged,Shoal,No,No
NT30,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No
NT32,Arnham Shoal,-11.45,133.717,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No
NT31,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No
WA83,Bardi Hole  Cape Leveque,-16.44,123.05,Open,WA,,,,,No,No
WA85,Bardi Hole2  Cape Leveque,-16.43,123.07,Open,WA,,,,,No,No
WA84,Rippy channel  Cape Leveque,-16.43,123.09,Open,WA,,,,,No,No
WA87,One tree reef S,-16.4,123.04,Open,WA,,,,,No,No
WA86,Gundanin Headland,-16.42,123.03,Open,WA,,,,,No,No
NT13,East Point North,-12.41,130.81,Open,WA,,,,,No,No
NT8,Dudley Point Bommies,-12.42,130.81,Open,WA,,,,,No,No
NT9,East Point Coral Gardens,-12.41,130.81,Open,WA,,,,,No,No
NT5,Platter Rock,-12.48,130.79,Open,WA,,,,,No,No
