year,country,area,ecoregion,realm,location,site_code,survey_date,depth,block,list,transect_1,transect_2,reef_name,lat,long,zone,region,sector,situation,depth_morph,geomorph,Harris_site,report_site,depth_m
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC1,2010-07-03,3.8,1,Reef_fish,1,1,Lamatha Reef,-16.48,139.27,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,3.8
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC1,2010-07-03,3.8,2,Reef_fish,1,2,Lamatha Reef,-16.48,139.27,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,3.8
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC1,2010-07-03,4,1,Reef_fish,2,3,Lamatha Reef,-16.48,139.27,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,4
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC1,2010-07-03,4,2,Reef_fish,2,4,Lamatha Reef,-16.48,139.27,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,4
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC2,2010-07-03,7,1,Reef_fish,1,1,Bowengun,-16.42,139.47,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,7
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC2,2010-07-03,7,2,Reef_fish,1,2,Bowengun,-16.42,139.47,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,7
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC2,2010-07-03,8,1,Reef_fish,2,3,Bowengun,-16.42,139.47,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,8
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC3,2010-07-04,4.4,1,Reef_fish,1,1,Mandalbi-Bellaleea,-16.41,139.63,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,4.4
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC3,2010-07-04,4.4,2,Reef_fish,1,2,Mandalbi-Bellaleea,-16.41,139.63,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,4.4
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC3,2010-07-04,5,1,Reef_fish,2,3,Mandalbi-Bellaleea,-16.41,139.63,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,5
