FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cd7,912343821,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,Truant Island SW,-11.67,136.81,9/8/2013,3,RLS,5,9:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Blenniidae,Ecsenius yaeyamaensis,Ecsenius yaeyamaensis,5,1,1.6385,POINT (136.80999755859375 -11.670000076293945)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cd8,912343821,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,Truant Island SW,-11.67,136.81,9/8/2013,3,RLS,5,9:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus strigilliceps,Cryptocentrus strigilliceps,7.5,2,10.2244,POINT (136.80999755859375 -11.670000076293945)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cd9,912343821,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,Truant Island SW,-11.67,136.81,9/8/2013,3,RLS,5,9:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Gobiidae,Istigobius decoratus,Istigobius decoratus,7.5,1,5.4384,POINT (136.80999755859375 -11.670000076293945)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cda,912343821,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,Truant Island SW,-11.67,136.81,9/8/2013,3,RLS,5,9:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes spp.,Cirripectes spp.,7.5,2,26.6407,POINT (136.80999755859375 -11.670000076293945)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cdb,912343821,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,Truant Island SW,-11.67,136.81,9/8/2013,3,RLS,5,9:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus strigilliceps,Cryptocentrus strigilliceps,7.5,1,5.1122,POINT (136.80999755859375 -11.670000076293945)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cdc,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Blenniidae,Ecsenius yaeyamaensis,Ecsenius yaeyamaensis,5,3,4.9156,POINT (136.69000244140625 -11.220000267028809)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cdd,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Gobiidae,Eviota ?punctulata,Eviota spp.,0,1,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cde,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Gobiidae,Istigobius decoratus,Istigobius decoratus,7.5,2,10.8768,POINT (136.69000244140625 -11.220000267028809)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6cdf,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Blenniidae,Ecsenius yaeyamaensis,Ecsenius yaeyamaensis,5,1,1.6385,POINT (136.69000244140625 -11.220000267028809)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6ce0,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus strigilliceps,Cryptocentrus strigilliceps,7.5,3,15.3367,POINT (136.69000244140625 -11.220000267028809)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6ce1,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Gobiidae,Istigobius decoratus,Istigobius decoratus,7.5,2,10.8768,POINT (136.69000244140625 -11.220000267028809)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6ce2,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Blenniidae,Ecsenius yaeyamaensis,Ecsenius yaeyamaensis,5,1,1.6385,POINT (136.69000244140625 -11.229999542236328)
ep_m2_cryptic_fish_public_data.fid-7ec7bcbc_196c7823bc9_6ce3,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Blenniidae,Ecsenius yaeyamaensis,Ecsenius yaeyamaensis,5,1,1.6385,POINT (136.69000244140625 -11.229999542236328)
