FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63b9,912345828,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC15,Proudfoot Shoal,-10.53,141.47,22/11/2015,7,RLS,10,7:00:00,,,2,2,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Culcita novaeguineae,Culcita novaeguineae,0,1,,POINT (141.47000122070312 -10.529999732971191)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63ba,912345828,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC15,Proudfoot Shoal,-10.53,141.47,22/11/2015,7,RLS,10,7:00:00,,,2,2,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidiella pustulosa,Phyllidiella pustulosa,0,1,,POINT (141.47000122070312 -10.529999732971191)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63bb,912345829,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC15,Proudfoot Shoal,-10.53,141.47,22/11/2015,6,RLS,10,7:00:00,,,2,2,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Culcita novaeguineae,Culcita novaeguineae,0,1,,POINT (141.47000122070312 -10.529999732971191)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63bc,912345829,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC15,Proudfoot Shoal,-10.53,141.47,22/11/2015,6,RLS,10,7:00:00,,,2,2,Mollusca,Gastropoda,Sorbeoconcha,Cerithiidae,Rhinoclavis sinensis,Rhinoclavis sinensis,0,1,,POINT (141.47000122070312 -10.529999732971191)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63bd,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,1,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema savignyi,Diadema savignyi,0,8,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63be,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,1,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria atra,Holothuria atra,0,1,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63bf,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,1,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria edulis,Holothuria edulis,0,2,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63c0,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,1,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,Elysia sp. [blue-lined],Elysia spp.,0,1,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63c1,912343822,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,4.3,RLS,10,9:00:00,,,2,2,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria atra,Holothuria atra,0,3,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63c2,912343826,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3.5,RLS,10,9:00:00,,,2,1,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema savignyi,Diadema savignyi,0,92,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63c3,912343826,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3.5,RLS,10,9:00:00,,,2,1,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,1,,POINT (136.69000244140625 -11.220000267028809)
