FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63cf,4000832,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,Manowar Island,-16.23,139.25,5/7/2010,5.5,RLS,,,,,0,,Chordata,Actinopterygii,Perciformes,Latidae,Psammoperca waigiensis,Psammoperca waigiensis,7.5,1,7.7949,POINT (139.25 -16.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ce,4000833,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,Manowar Island,-16.23,139.25,5/7/2010,6,RLS,,,,,0,,Chordata,Actinopterygii,Perciformes,Latidae,Psammoperca waigiensis,Psammoperca waigiensis,12.5,1,36.4581,POINT (139.25 -16.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63cd,4000833,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,Manowar Island,-16.23,139.25,5/7/2010,6,RLS,,,,,0,,Chordata,Actinopterygii,Perciformes,Latidae,Psammoperca waigiensis,Psammoperca waigiensis,15,1,63.2298,POINT (139.25 -16.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63cc,912343820,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,Booby Island,-10.61,141.92,5/8/2013,2.3,RLS,4,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Labridae,Cheilinus fasciatus,Cheilinus fasciatus,15,1,81.8566,POINT (141.9199981689453 -10.609999656677246)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63cb,912343820,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,Booby Island,-10.61,141.92,5/8/2013,2.3,RLS,4,11:00:00,,,0,,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Rhinecanthus rectangulus,Rhinecanthus rectangulus,25,1,380.3246,POINT (141.9199981689453 -10.609999656677246)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ca,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Lethrinidae,Lethrinus olivaceus,Lethrinus olivaceus,40,1,680.3077,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c9,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf vaigiensis,Abudefduf vaigiensis,7.5,10,161.5027,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c8,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Scaridae,Chlorurus microrhinos,Chlorurus microrhinos,40,1,881.642,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c7,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Neotrygon kuhlii,Neotrygon kuhlii,30,1,874.5698,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c6,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Neotrygon kuhlii,Neotrygon kuhlii,35,1,1260.8639,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c5,912343824,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,Booby Island,-10.61,141.92,5/8/2013,4,RLS,4,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Caesionidae,Caesio cuning,Caesio cuning,20,1,249.9089,POINT (141.9199981689453 -10.609999656677246)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c4,912343824,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,Booby Island,-10.61,141.92,5/8/2013,4,RLS,4,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chelmon marginalis,Chelmon marginalis,10,1,38.7557,POINT (141.9199981689453 -10.609999656677246)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c3,912343826,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3.5,RLS,10,9:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Scaridae,Bolbometopon muricatum,Bolbometopon muricatum,100,2,24803.754,POINT (136.69000244140625 -11.220000267028809)
